dataset	model	collaboration_setting	experiment	theme
climate_ads	llm-based	sync	group_1	AbandonedWells: Statements on the need to clean up abandoned oil and gas wells. Typically, using funding from infrastructure projects creates new jobs.
climate_ads	llm-based	sync	group_1	AntiFossilFuelInfrastructure: Political statements on the downsides of fossil fuel infrastructure for the economy and how this infrastructure is generally bad for the environment and health.
climate_ads	llm-based	sync	group_1	HazardsOfWells: Statements of the hazardous nature of living near an oil or gas well.
climate_ads	llm-based	sync	group_1	PublicLandExploitation: Condemnations of the exploitation of public land for oil and natural gas
climate_ads	llm-based	sync	group_1	CutMethane: Calls to reduce methane emissions, specifically highlighting the massive impact that methane has.
climate_ads	llm-based	sync	group_1	ClimateEmergency: Messages that reference climate change as a current “emergency”
climate_ads	llm-based	sync	group_1	DemandClimateActionFromLeaders: Ads that encourage individuals to call their representatives or get in contact with them to demand climate change action.
climate_ads	llm-based	sync	group_1	DonationMatchingForClimate: Ads requesting donations to climate change causes with donation matching included.
climate_ads	llm-based	sync	group_1	OilAndGasSupportJobs: Benefits of Oil and Natural Gas in supporting more jobs
climate_ads	llm-based	sync	group_1	OilAndGasProvidesWages: Ads advocating for oil and natural gas by emphasizing wages the industry supports.
climate_ads	llm-based	sync	group_1	TellRepToNotRaiseOilGasTaxes: Ads urging people to contact reps to not increase taxes by claiming that it will hurt ‘economic recovery’.
climate_ads	llm-based	sync	group_1	CleanOilAndGas: Adverts by Oil and Gas companies positioning themselves as pro-environment and emphasizing the reduced emissions from their manufacturing processes.
climate_ads	llm-based	sync	group_1	NuclearRevenueSupportsJobs: Posts emphasizing that Nuclear Revenue supports jobs.
climate_ads	llm-based	sync	group_1	NuclearEnergyProvidesTaxRevenue: Posts highlighting the tax revenue generated by Nuclear Energy in addition to the jobs created.
climate_ads	llm-based	sync	group_1	CelebrateBuildBackBetter: Posts celebrating passage of Build Back Better act in the house and thanking their Representatives.
climate_ads	llm-based	sync	group_1	ThankRepForBuildBackBetter: Posts urging people to thank representatives that helped pass Build Back better act.
climate_ads	llm-based	sync	group_2	BuildBackBetterActCampaign: Calling for the passing of the Build Back Better Act. Many of the documents are thanking people for supporting and campaigning for the act.
climate_ads	llm-based	sync	group_2	CallToActionAgainstOilAndGasIndustries: Documents usually have a clear call to action to fight against these industries. Some describe how harmful they are or focus on specific industries.
climate_ads	llm-based	sync	group_2	CarbonEmissionReduction: Documents talk about why we need to reduce carbon emissions, or how we can reduce them, or specific actions that have helped, or are calls to action to reduce emissions.
climate_ads	llm-based	sync	group_2	CleanEnergyPromotion: Documents describe why we need clean energy and advocate for their use.
climate_ads	llm-based	sync	group_2	ClimateChangeDonations: Documents request donations to support movements against climate change.
climate_ads	llm-based	sync	group_2	ClimateChangeMovements: Documents describe why it is important to fight climate change, or have specific calls to action to help fight climate change, or talk about organizations/groups that are fighting climate change.
climate_ads	llm-based	sync	group_2	LawmakersAndOilAndGas: Documents asking people to reach out to lawmakers about oil and gas reforms.
climate_ads	llm-based	sync	group_2	NuclearPowerEconomicBenefits: Describe how nuclear power creates jobs or supports the economy.
climate_ads	llm-based	sync	group_2	NuclearPowerOtherBenefits: Environmental and community benefits of nuclear power.
climate_ads	llm-based	sync	group_2	OilAndGasBoostEconomy: Describe how the oil and gas industries are good for the economy.
climate_ads	llm-based	sync	group_2	OilAndGasTaxesBad: Describe why taxes on oil and gas industries are bad and campaigns against the taxes.
climate_ads	llm-based	sync	group_2	PoliticalTraining: Describes classes/sessions that teach people about various political systems and their voting rights.
climate_ads	llm-based	sync	group_2	PropertyTaxCampaign: Documents campaigning against property tax.
climate_ads	llm-based	sync	group_2	RenewableEnergyEconomicBenefits: Documents describe how renewable energy creates jobs or supports the economy.
climate_ads	llm-based	sync	group_2	RenewableEnergyPromotionAndGrowth: Documents describe why renewable energy is good and necessary, and how it has grown in usage in recent years.
climate_ads	llm-based	sync	group_2	RightWingCampaigns: Campaigns against democrats and liberals.
